"route_number","stop_name","hour","minutes"
"312","სპეციალური პენიტენციური სამსახური - [1252]","STOP_NAME","50"
"312","ბაგების საბაგირო - [976]","STOP_NAME","51"
"312","უნივერსიტეტის მაღლივი კორპუსი - [977]","STOP_NAME","52"
"314","დიდი დიღომი IV მ/რ (ავტობაზა #2) - [1188]","STOP_NAME","1"
"314","#192-ე საჯარო სკოლა - [1190]","STOP_NAME","2"
"314","არჩილ მეფის ქუჩა #12 - [3316]","STOP_NAME","3"
"314","არჩილ მეფის ქუჩა #8 - [1191]","STOP_NAME","4"
"314","მარკო პოლოს ქუჩა - [3314]","STOP_NAME","5"
"314","დავით ბატონიშვილის ქუჩა - [1192]","STOP_NAME","6"
"314","იან ჰომერის ქუჩა - [3850]","STOP_NAME","7"
"314","მირიან მეფის ქუჩა #100 - [1193]","STOP_NAME","8"
"314","მირიან მეფის ქუჩა #90 - [1194]","STOP_NAME","9"
"314","თეიმურაზ I-ის ქუჩა - [4333]","STOP_NAME","10"
"314","ტარიელის ქუჩა - [2506]","STOP_NAME","11"
"314","გიორგი ბრწყინვალეს ქუჩა - [1196]","STOP_NAME","12"
"314","პეტრე იბერის ქუჩა #16 - [4200]","STOP_NAME","13"
"314","იოანე პეტრიწის ქუჩა #14 - [1197]","STOP_NAME","14"
"314","იოანე პეტრიწის ქუჩა #8 - [1198]","STOP_NAME","15"
"314","იოანე პეტრიწის ქუჩა #4 - [1199]","STOP_NAME","16"
"314","ფარნავაზ მეფის გამზირი - [2497]","STOP_NAME","17"
"314","გიორგი ბრწყინვალეს ქუჩა - [1200]","STOP_NAME","18"
"314","ანბანის სკვერი - [3697]","STOP_NAME","19"
"314","დავით აღმაშენებლის ხეივანი მე-12 კილომეტრი - [1201]","STOP_NAME","20"
"314","ჭაშნაგირის ქუჩა - [1203]","STOP_NAME","21"
"314","დაცვის პოლიცია - [2785]","STOP_NAME","22"
"314","ლევან ფიცხელიანის ქუჩა - [1202]","STOP_NAME","23"
"314","13 ასურელი მამის ქუჩა - [2064]","STOP_NAME","24"
"314","საქალაქო სასამართლო - [1205]","STOP_NAME","25"
"314","დავით აღმაშენებლის ხეივანი #44 - [3601]","STOP_NAME","26"
"314","ევგენი მიქელაძის ქუჩა - [4198]","STOP_NAME","27"
"314","სოფელ დიღმის გადასახვევი - [1174]","STOP_NAME","28"
"314","პოლიციის დეპარტამენტი - [2166]","STOP_NAME","29"
"314","გარემოს დაცვისა და სოფლის მეურნეობის სამინისტრო - [1171]","STOP_NAME","30"
