"route_number","stop_index","stop_name"
"320","17","მ/ს ""წერეთელი"" - [4588]"
"320","18","ბორის პაიჭაძის ეროვნული სტადიონი - [4586]"
"320","19","მე-#18 საჯარო სკოლა - [912]"
"320","20","#24-ე საჯარო სკოლა - [801]"
"320","21","გიორგი ტოვსტონოგოვის ქუჩა - [914]"
"320","22","მ/ს ""მარჯანიშვილი"" - [915]"
"320","23","სანკტ პეტერბურგის ქუჩა - [916]"
"320","24","კიევის ქუჩა - [917]"
"320","25","დიმიტრი უზნაძის ქუჩა - [3739]"
"320","26","ზაარბრიუკენის მოედანი - [865]"
"320","27","9 მარტის ბაღი - [920]"
"320","28","გიორგი ლეონიძის ბაღი - [2597]"
"320","29","იუსტიციის სახლი - [3569]"
"320","30","ნიკოლოზ ბარათაშვილის ქუჩა - [3932]"
"301","1","ქვედა მელითონეთა დასახლება - [2919]"
"301","2","მარია პერინის ქუჩა - [3479]"
"301","3","გაიოზ რექტორის ქუჩა - [2920]"
"301","4","დოსითეოს ქუთათელის ქუჩა - [3482]"
"301","5","ემირ ბურჯანაძის ქუჩა #24 - [3485]"
"301","6","ნაკადულის ქუჩა - [1045]"
"301","7","წმინდა ბარბარეს სასაფლაო - [1039]"
"301","8","#106-ე საჯარო სკოლა - [1042]"
"301","9","ბოგდან ხმელნიცკის ქუჩა #7 - [1038]"
"301","10","ბოგდან ხმელნიცკის ქუჩა #3 - [1036]"
"301","11","ბერი გაბრიელ სალოსის გამზირი #169 - [3017]"
"301","12","ბერი გაბრიელ სალოსის გამზირი #136 - [1032]"
"301","13","ბერი გაბრიელ სალოსის გამზირი #120 - [1029]"
"301","14","შოთა ნადირაშვილის ქუჩა - [1027]"
"301","15","#99-ე საჯარო სკოლა - [4243]"
"301","16","ბერი გაბრიელ სალოსის გამზირი #52 - [3014]"
"301","17","ბოლნისის ქუჩა - [1025]"
"301","18","ბერი გაბრიელ სალოსის მოედანი - [1947]"
"301","19","დიმიტრი გულიას ხიდი - [1490]"
"301","20","დიმიტრი გულიას მოედანი - [1946]"
"301","21","ორთაჭალის ქუჩა - [1386]"
"301","22","ბეჟან კალანდაძის ქუჩა - [1387]"
"301","23","ვახტანგ გორგასლის მოედანი - [1388]"
"301","24","300 არაგველის მემორიალი - [3085]"
"301","25","იბრაჰიმ-ისფაჰანლის ქუჩა - [1390]"
"301","26","ალექსანდრე შიმკევიჩის ქუჩა - [3128]"
"301","27","ძმები სიმენსების ქუჩა - [3486]"
"301","28","აბანოთუბანი - [1465]"
"301","29","ევროპის მოედანი - [1495]"
